official_name,filing_label,form_type,filing_date,pdf_url
"Abizaid, Christine",Christine-Abizaid-02.27.2022-278T.pdf,278-T,02.27.2022,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98FECB7040C731B58525880A002E4F5F/$FILE/Christine-Abizaid-02.27.2022-278T.pdf
"Abizaid, Christine",Christine-Abizaid-12.03.2022-278T.pdf,278-T,12.03.2022,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6AE894D70FFEB5A38525896F003437B7/$FILE/Christine-Abizaid-12.03.2022-278T.pdf
"Abizaid, Christine",Christine-Abizaid-01.16.2024-278T.pdf,278-T,01.16.2024,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/80DB0B1C70FA61E185258AF6002EF2E1/$FILE/Christine-Abizaid-01.16.2024-278T.pdf
"Abizaid, Christine",Christine-Abizaid-11.05.2023-278T.pdf,278-T,11.05.2023,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1FC5F58F66121BF985258AF6002EF2EB/$FILE/Christine-Abizaid-11.05.2023-278T.pdf
"Adeyemo, Adewale",Adewale-Adeyemo-05.31.2021-278T.pdf,278-T,05.31.2021,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/ED2CFB66004BF9D085258711002E41EB/$FILE/Adewale-Adeyemo-05.31.2021-278T.pdf
"Adeyemo, Adewale",Adewale-Adeyemo-10.09.2023-278T.pdf,278-T,10.09.2023,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C4E71C4B7B921CEB85258A8400346EF1/$FILE/Adewale-Adeyemo-10.09.2023-278T.pdf
"Albright, Alice",Alice-Albright-04.19.2022-278T.pdf,278-T,04.19.2022,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EEE35F23A1BB494985258845002EC2D8/$FILE/Alice-Albright-04.19.2022-278T.pdf
"Albright, Alice",Alice-Albright-10.24..2022-278T.pdf,278-T,,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AC7744B00F48FC8385258902003439F9/$FILE/Alice-Albright-10.24..2022-278T.pdf
"Austin, Lloyd",Lloyd-Austin-03.29.2021-278T.pdf,278-T,03.29.2021,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2B6EEA9072604BFB852586B0002EC78E/$FILE/Lloyd-Austin-03.29.2021-278T.pdf
"Bailey, Sara",Sara-Bailey-04.01.2026-278T.pdf,278-T,04.01.2026,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/7F5276881004F82A85258E13002D93A3/$FILE/Sara-Bailey-04.01.2026-278T.pdf
