source_file,row_no,raw_description,txn_type,txn_date,notified_over_30d,amount_min,amount_max,amount_bracket,owner,asset_type
Arjun-Mody-02.27.2026-278T.pdf,1,"Agilent Technologies, Inc. (A)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,2,AIA Group Ltd ADR (AAGIY),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,3,"Apple, Inc. (AAPL)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,4,"Apple, Inc. (AAPL)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,5,"AbbVie, Inc. (ABBV)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,6,Ambev SA (ABEV),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,7,Abbott Laboratories (ABT),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,8,Accenture Plc (ACN),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,9,"Analog Devices, Inc. (ADI)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,10,"Autodesk, Inc. (ADSK)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,11,"American Electric Power Co., Inc. (AEP)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,12,"American International Group, Inc. (AIG)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,13,Alkami Technology Inc. Common Stock (ALKT),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,14,Allstate Corp (ALL),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,15,"Applied Materials, Inc. (AMAT)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,16,"Advanced Micro Devices, Inc. (AMD)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,17,"AMETEK, Inc. (AME)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,18,"Amazon.com, Inc. (AMZN)",sale,2026-01-30,0,15001,50000,"$15,001 - $50,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,19,"Amazon.com, Inc. (AMZN)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,20,"Amazon.com, Inc. (AMZN)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,21,"Amazon.com, Inc. (AMZN)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,22,Aon Plc (AON),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,23,Atmos Energy Corp. (ATO),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,24,"Broadcom, Inc. (AVGO)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,25,"Broadcom, Inc. (AVGO)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,26,"American Water Works Co., Inc. (AWK)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,27,American Express Co. (AXP),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,28,Barrick Mining Corp (B),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,29,Boeing Co (BA),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,30,Bae Systems PLC (BAESY),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,31,Booz Allen Hamilton Holding Corp. (BAH),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,32,"Becton, Dickinson and Company (BDX)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,33,State Street SPDR Bloomberg 1-3 Month T-Bill ETF,sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,34,Bio-Rad Laboratories Inc Class A (BIO),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,35,The Bank of New York Mellon Corporation (BK),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,37,"Broadridge Financial Solutions, Inc. (BR)",sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
Arjun-Mody-02.27.2026-278T.pdf,38,Berkshire Hathaway Inc. (BRKB),sale,2026-01-30,0,1001,15000,"$1,001 - $15,000",unknown,stock
