award_id,recipient_name,recipient_ticker,awarding_agency,award_amount,award_date,award_type,source_url
W31P4Q05F0094,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,6541594.0,2005-06-06,,https://www.usaspending.gov
N6264514C4039,AGILENT TECHNOLOGIES INC,A,Department of Defense,4924396.62,2014-09-30,,https://www.usaspending.gov
M6700411F0621,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,4094677.03,2011-04-22,,https://www.usaspending.gov
W31P4Q09F0008,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,3748984.9,2008-10-30,,https://www.usaspending.gov
H9222210C0002,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,3537892.07,2009-12-21,,https://www.usaspending.gov
N0010412FQA66,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,3168777.6,2012-01-13,,https://www.usaspending.gov
DJD15HQ12S16C001,"AGILENT TECHNOLOGIES, INC.",A,Department of Justice,2932395.58,2016-08-31,,https://www.usaspending.gov
DJD15HQ12S15C014,"AGILENT TECHNOLOGIES, INC.",A,Department of Justice,2838738.75,2015-09-25,,https://www.usaspending.gov
HSBP1017F00301,"AGILENT TECHNOLOGIES, INC.",A,Department of Homeland Security,2785559.35,2017-09-12,,https://www.usaspending.gov
DJD15HQ12S17C001,"AGILENT TECHNOLOGIES, INC.",A,Department of Justice,2606773.85,2017-09-21,,https://www.usaspending.gov
W31P4Q08F0151,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,2573026.16,2008-09-26,,https://www.usaspending.gov
DJDEAHQ080398,"AGILENT TECHNOLOGIES, INC.",A,Department of Justice,2370405.62,2008-09-18,,https://www.usaspending.gov
W15P7T06CP401,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,2343453.0,2006-03-21,,https://www.usaspending.gov
W31P4Q08F0166,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,2319875.37,2008-09-25,,https://www.usaspending.gov
W31P4Q07F0114,"AGILENT TECHNOLOGIES, INC.",A,Department of Defense,2207664.88,2007-08-09,,https://www.usaspending.gov
19CH5026F2189,AIA LIFE INSURANCE COMPANY LIMITED BEIJING BRANCH,AAGIY,Department of State,2655015.71,2026-01-21,,https://www.usaspending.gov
19CH5025F2634,AIA LIFE INSURANCE COMPANY LIMITED BEIJING BRANCH,AAGIY,Department of State,2579390.8,2025-07-21,,https://www.usaspending.gov
19CH5024F2680,AIA LIFE INSURANCE COMPANY LIMITED BEIJING BRANCH,AAGIY,Department of State,2515675.1,2024-07-30,,https://www.usaspending.gov
19CH5025F2251,AIA LIFE INSURANCE COMPANY LIMITED BEIJING BRANCH,AAGIY,Department of State,2496608.87,2025-01-15,,https://www.usaspending.gov
DJBP0106KG120021A,"BRIGHT APPLE, INC.",AAPL,Department of Justice,1415.51,2011-09-22,,https://www.usaspending.gov
36C26026F0021,ABBVIE US LLC,ABBV,Department of Veterans Affairs,113265.24,2025-10-01,,https://www.usaspending.gov
VA26217J0997,ABBVIE US LLC,ABBV,Department of Veterans Affairs,111142.8,2016-11-22,,https://www.usaspending.gov
36C26025F0251,ABBVIE US LLC,ABBV,Department of Veterans Affairs,68991.92,2025-05-19,,https://www.usaspending.gov
VA26217J0840,ABBVIE US LLC,ABBV,Department of Veterans Affairs,64215.84,2016-10-30,,https://www.usaspending.gov
36C26025F0216,ABBVIE US LLC,ABBV,Department of Veterans Affairs,62185.08,2025-04-16,,https://www.usaspending.gov
VA26117F0044,ABBVIE US LLC,ABBV,Department of Veterans Affairs,58855.96,2016-10-05,,https://www.usaspending.gov
VA26217J7340,ABBVIE US LLC,ABBV,Department of Veterans Affairs,55309.28,2017-10-12,,https://www.usaspending.gov
36C26119F0008,ABBVIE US LLC,ABBV,Department of Veterans Affairs,52046.64,2018-10-01,,https://www.usaspending.gov
75H71226F28003,ABBVIE US LLC,ABBV,Department of Health and Human Services,51844.33,2025-11-14,,https://www.usaspending.gov
75H71225F28002,ABBVIE US LLC,ABBV,Department of Health and Human Services,49850.32,2024-11-21,,https://www.usaspending.gov
36C26225P0563,ABBVIE US LLC,ABBV,Department of Veterans Affairs,47085.17,2025-01-22,,https://www.usaspending.gov
75H71224F28001,ABBVIE US LLC,ABBV,Department of Health and Human Services,46183.5,2023-12-20,,https://www.usaspending.gov
36C26118F0771,ABBVIE US LLC,ABBV,Department of Veterans Affairs,43997.8,2018-01-24,,https://www.usaspending.gov
36C26026F0020,ABBVIE US LLC,ABBV,Department of Veterans Affairs,41533.68,2025-10-01,,https://www.usaspending.gov
36C26118F1919,ABBVIE US LLC,ABBV,Department of Veterans Affairs,30539.04,2018-06-19,,https://www.usaspending.gov
