official_name,filename,filing_type,status,local_path
"Bailey, Sara","Bailey, Sara  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Bailey, Sara  final278.pdf"
"Bedford, Bryan","Bedford, Bryan  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Bedford, Bryan  final278.pdf"
"Bessent, Scott","Bessent, Scott  AMENDED final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Bessent, Scott  AMENDED final278.pdf"
"Bisignano, Frank J","Bisignano, Frank J.  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Bisignano, Frank J.  final278.pdf"
"Blanche, Todd","Blanche, Todd  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Blanche, Todd  final278.pdf"
"Blanche, Todd","Blanche, Todd  final278.pdf",nominee,skipped,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Blanche, Todd  final278.pdf"
"Bondi, Pam","Bondi, Pam  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Bondi, Pam  final278.pdf"
"Burgum, Douglas J","Burgum, Doug  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Burgum, Doug  final278.pdf"
"Chavez-DeRemer, Lori","Chavez-DeRemer, Lori  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Chavez-DeRemer, Lori  final278.pdf"
"Dixon, Stacey",Stacey-Dixon-2022-278.pdf,annual,downloaded,/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Stacey-Dixon-2022-278.pdf
"Dixon, Stacey",Stacey-Dixon-2023-278.pdf,annual,downloaded,/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Stacey-Dixon-2023-278.pdf
"Dixon, Stacey",Stacey-Dixon-2024-278.pdf,annual,downloaded,/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Stacey-Dixon-2024-278.pdf
"Dixon, Stacey","Dixon, Stacey  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Dixon, Stacey  final278.pdf"
"Duffy, Sean","Duffy, Sean  final278.pdf",nominee,downloaded,"/Users/wongpeiting/Desktop/CU/python-work/shares/data/raw_278e/Duffy, Sean  final278.pdf"
