raw_description,resolved_name,ticker,issuer_name,sector,method
"Agilent Technologies, Inc. (A)","Agilent Technologies, Inc.",A,"Agilent Technologies, Inc.",medical devices,paren
AIA Group Ltd ADR (AAGIY),AIA Group Ltd ADR,AAGIY,AIA Group Ltd ADR,,paren
"Apple, Inc. (AAPL)","Apple, Inc.",AAPL,"Apple, Inc.",technology,paren
"AbbVie, Inc. (ABBV)","AbbVie, Inc.",ABBV,"AbbVie, Inc.",pharmaceuticals,paren
Ambev SA (ABEV),Ambev SA,ABEV,Ambev SA,,paren
Abbott Laboratories (ABT),Abbott Laboratories,ABT,Abbott Laboratories,medical devices,paren
Accenture Plc (ACN),Accenture Plc,ACN,Accenture Plc,technology,paren
"Analog Devices, Inc. (ADI)","Analog Devices, Inc.",ADI,"Analog Devices, Inc.",semiconductors,paren
"Autodesk, Inc. (ADSK)","Autodesk, Inc.",ADSK,"Autodesk, Inc.",technology,paren
"American Electric Power Co., Inc. (AEP)","American Electric Power Co., Inc.",AEP,"American Electric Power Co., Inc.",utilities,paren
"American International Group, Inc. (AIG)","American International Group, Inc.",AIG,"American International Group, Inc.",financial services,paren
Alkami Technology Inc. Common Stock (ALKT),Alkami Technology Inc. Common Stock,ALKT,Alkami Technology Inc. Common Stock,,paren
Allstate Corp (ALL),Allstate Corp,ALL,Allstate Corp,financial services,paren
"Applied Materials, Inc. (AMAT)","Applied Materials, Inc.",AMAT,"Applied Materials, Inc.",semiconductors,paren
"Advanced Micro Devices, Inc. (AMD)","Advanced Micro Devices, Inc.",AMD,"Advanced Micro Devices, Inc.",semiconductors,paren
"AMETEK, Inc. (AME)","AMETEK, Inc.",AME,"AMETEK, Inc.",industrials,paren
"Amazon.com, Inc. (AMZN)","Amazon.com, Inc.",AMZN,"Amazon.com, Inc.",technology,paren
Aon Plc (AON),Aon Plc,AON,Aon Plc,,paren
Atmos Energy Corp. (ATO),Atmos Energy Corp.,ATO,Atmos Energy Corp.,utilities,paren
"Broadcom, Inc. (AVGO)","Broadcom, Inc.",AVGO,"Broadcom, Inc.",semiconductors,paren
"American Water Works Co., Inc. (AWK)","American Water Works Co., Inc.",AWK,"American Water Works Co., Inc.",utilities,paren
American Express Co. (AXP),American Express Co.,AXP,American Express Co.,financial services,paren
Barrick Mining Corp (B),Barrick Mining Corp,B,Barrick Mining Corp,mining,paren
Boeing Co (BA),Boeing Co,BA,Boeing Co,aerospace,paren
Bae Systems PLC (BAESY),Bae Systems PLC,BAESY,Bae Systems PLC,defense,paren
Booz Allen Hamilton Holding Corp. (BAH),Booz Allen Hamilton Holding Corp.,BAH,Booz Allen Hamilton Holding Corp.,defense,paren
"Becton, Dickinson and Company (BDX)","Becton, Dickinson and Company",BDX,"Becton, Dickinson and Company",medical devices,paren
State Street SPDR Bloomberg 1-3 Month T-Bill ETF,STATE STREET CORP,STT-PG,STATE STREET CORP,,fuzzy
Bio-Rad Laboratories Inc Class A (BIO),Bio-Rad Laboratories Inc Class A,BIO,Bio-Rad Laboratories Inc Class A,,paren
The Bank of New York Mellon Corporation (BK),The Bank of New York Mellon Corporation,BK,The Bank of New York Mellon Corporation,banks,paren
"Broadridge Financial Solutions, Inc. (BR)","Broadridge Financial Solutions, Inc.",BR,"Broadridge Financial Solutions, Inc.",financial services,paren
Berkshire Hathaway Inc. (BRKB),Berkshire Hathaway Inc.,BRKB,Berkshire Hathaway Inc.,,paren
British American Tobacco Industries p.l.c. Common,British American Tobacco p.l.c.,BTAFF,British American Tobacco p.l.c.,,fuzzy
Anheuser-Busch Inbev SA Sponsored ADR,Anheuser-Busch InBev SA/NV,BUDFF,Anheuser-Busch InBev SA/NV,food,fuzzy
