ticker,awarding_agency,total_award_amount,n_awards
A,Department of Defense,35460341.63,10
A,Department of Homeland Security,2785559.35,1
A,Department of Justice,10748313.8,4
AAGIY,Department of State,10246690.48,4
AAPL,Department of Justice,1415.51,1
ABBV,Department of Health and Human Services,147878.15,3
ABBV,Department of Veterans Affairs,749168.45,12
ABT,Department of Defense,2583526164.3,11
ABT,Department of Health and Human Services,496884610.01,3
ACN,Department of Agriculture,344154089.71,1
ACN,Department of Defense,1847190038.68,3
ACN,Department of Education,4157250952.19,4
ACN,Department of Energy,401733218.89,1
ACN,Department of Health and Human Services,1625811199.63,2
ACN,Department of Homeland Security,727406155.82,2
ACN,Department of Veterans Affairs,875330654.04,2
ADBE,Department of Defense,4164064.0,3
ADBE,Department of Energy,101602.0,1
ADBE,Department of the Interior,200758.19,3
ADBE,National Gallery of Art,172168.99,1
ADI,Department of Defense,4769763.6,15
ADP,Department of Veterans Affairs,13000.0,1
ADP,Smithsonian Institution,15360.0,1
ADSK,Department of Defense,3076053.5,9
ADSK,Department of Justice,16600.0,1
ADSK,Department of State,11340.0,1
ADSK,Department of the Interior,65580.0,4
AEP,Department of Defense,3415398.0,1
AEP,Department of Labor,4292163.33,1
AEP,General Services Administration,22255910.41,7
AES,Department of State,29692866.0,1
AIG,Department of Defense,368426082.44,7
AIG,Department of State,949369984.92,7
AJG,Department of Homeland Security,46358.63,1
AJG,Department of Labor,306446.87,3
AJG,Department of Transportation,6801315.74,5
ALG,Department of Defense,272896480.57,6
ALK,Department of Defense,22177202.23,15
ALL,Department of Defense,21741371.44,8
ALL,Department of Health and Human Services,4082400.0,1
ALL,Department of Homeland Security,3804248.17,1
ALL,Department of Veterans Affairs,1609200.0,1
ALL,Department of the Interior,1577369.16,1
ALL,Department of the Treasury,2989789.38,1
ALL-PB,Department of Defense,21741371.44,8
ALL-PB,Department of Health and Human Services,4082400.0,1
ALL-PB,Department of Homeland Security,3804248.17,1
ALL-PB,Department of Veterans Affairs,1609200.0,1
ALL-PB,Department of the Interior,1577369.16,1
ALL-PB,Department of the Treasury,2989789.38,1
ALLE,Department of Defense,362384.81,3
ALLE,Department of Veterans Affairs,1567450.15,12
ALLY,Department of Defense,26362.08,1
AMAT,Department of Defense,696000.0,1
AMAT,Department of Energy,5000.0,1
AMAT,Department of Transportation,69068.41,1
AMAT,Department of the Interior,879906.0,1
AMCR,Department of Defense,6056363.0,1
AMCR,Department of Veterans Affairs,132934191.37,4
AMD,Department of Defense,8379615.0,1
AME,Department of Defense,12782297.0,7
AMGN,Department of Health and Human Services,1158465826.16,8
AMGN,Department of Veterans Affairs,1606450.07,6
AMZN,Department of Agriculture,3825.48,1
AMZN,Department of Health and Human Services,22684.53,3
AMZN,Department of State,72162.88,10
AMZN,Federal Election Commission,3089.37,1
ANET,Department of Commerce,23150.48,1
ANET,Department of Defense,97377.0,1
ANET,Smithsonian Institution,35897.1,5
AON,Department of Homeland Security,11177391.96,3
AON,Department of Justice,3343084.11,1
AON,Department of the Treasury,2700000.0,1
AON,Pension Benefit Guaranty Corporation,3389407.0,1
ASMLF,Department of Commerce,11963607.83,15
ATH,Department of Defense,364328603.4,7
ATH,Social Security Administration,25944145.12,1
ATO,Department of Agriculture,4976880.74,1
ATO,Department of Defense,59271724.27,7
ATO,Department of Energy,20599712.44,2
ATO,Department of Veterans Affairs,7188177.47,3
ATO,National Aeronautics and Space Administration,6315483.85,2
ATR,Department of Health and Human Services,2258582.3,3
AVGO,Department of Defense,500.0,1
AWK,Department of Defense,498798349.0,7
AWK,Department of Justice,12138670.17,7
AWK,Environmental Protection Agency,4985593.0,1
AXP,Department of Commerce,1200070.0,1
AXP,Department of Housing and Urban Development,2527771.0,3
AXP,Department of Veterans Affairs,9276259.46,10
AXP,Executive Office of the President,1076316.58,1
AZTA,Department of Health and Human Services,13221824.09,4
AZTA,Department of Veterans Affairs,38073305.66,11
BA,Department of Defense,165009432046.17,13
BA,National Aeronautics and Space Administration,32951098366.54,2
BAC,Department of Defense,82187504.33,12
BAC,Department of Veterans Affairs,50945167.85,3
BAESY,Department of Defense,11714953565.79,15
BAH,Department of Veterans Affairs,5584339552.57,6
BAH,General Services Administration,8159205232.05,9
BC-PC,Agency for International Development,9910844.0,1
BC-PC,Department of Defense,73731759.26,10
BC-PC,Department of Health and Human Services,5173101.21,1
BC-PC,Department of Homeland Security,4341182.0,1
BC-PC,Department of Housing and Urban Development,3807479.25,1
BDX,Department of Defense,111789115.0,4
BDX,Department of Health and Human Services,57775090.56,5
BDX,Department of Homeland Security,2424300.11,1
BDX,Department of Veterans Affairs,95763591.92,5
BFAM,Department of Defense,42282604.59,10
BFAM,Securities and Exchange Commission,7146601.25,5
BGC,Department of Defense,1958830.42,1
BIO-B,Department of Defense,11105620.49,11
BIO-B,Department of Health and Human Services,3986445.86,2
BIO-B,Department of Homeland Security,855315.0,1
BIO-B,Department of Veterans Affairs,882322.4,1
BK,Department of Homeland Security,2211223.66,1
BK,Department of Housing and Urban Development,86766577.0,1
BK,Department of Veterans Affairs,42691346.35,12
BK,General Services Administration,97962566.4,1
BKNG,Department of Defense,265100.33,2
BKNG,Department of State,285625.0,1
BKTI,Department of Defense,487361.22,6
BKTI,Department of Veterans Affairs,115171.68,2
BKTI,Department of the Interior,147604.22,1
BKTI,Department of the Treasury,114199.26,2
BLDR,Department of Defense,7550.0,1
BLDR,Department of Homeland Security,103463.91,4
BLDR,Department of the Interior,36655.6,2
BLK,Department of Defense,767000.0,1
BLK,Department of Veterans Affairs,2879836.0,5
BLK,Pension Benefit Guaranty Corporation,127992903.64,9
BMY,Department of Veterans Affairs,6208842.73,15
BNTGY,Department of Defense,1227726.79,13
BNTGY,Department of the Interior,2252783.4,2
BR,Securities and Exchange Commission,1093620.0,2
BRKRP,Department of Commerce,9750800.0,2
BRKRP,Department of Defense,45886329.29,8
BRKRP,Department of Health and Human Services,10588000.0,3
BRKRP,Department of Homeland Security,5977942.0,1
BRKRP,National Aeronautics and Space Administration,2886343.18,1
BRO,Department of Agriculture,900.0,2
BRO,Department of Defense,6500.0,2
BRO,Department of Homeland Security,20618.63,4
BRO,Department of Justice,220064.99,3
BSX,Department of Defense,6180750.0,2
BSX,Department of Veterans Affairs,20540917.6,10
BSY,Department of Defense,75076070.75,15
BX,Department of Defense,6015025.44,1
BX,Department of Homeland Security,128284642.96,11
BX,Pension Benefit Guaranty Corporation,8775991.23,1
CAT,Department of Defense,876921164.59,15
CB,Department of Agriculture,18459.03,1
CB,Department of Commerce,9725.0,1
CB,Department of Defense,210067.94,2
CB,Department of Veterans Affairs,107876.54,4
CBRE,Agency for International Development,2492341.63,1
CBRE,Department of Agriculture,7090000.0,2
CBRE,Department of Veterans Affairs,3176002.3,1
CBRE,General Services Administration,24227096.54,3
CBRE,Millennium Challenge Corporation,3284380.48,1
CDNS,Department of Defense,31546070.0,15
CDW,Department of Commerce,561166063.35,1
CDW,Department of Defense,56339030.36,1
CDW,Department of Health and Human Services,128340951.68,2
CDW,Department of Justice,288108150.67,5
CDW,Department of State,619620961.11,4
CDW,Department of Transportation,88989848.0,1
CELG-RI,Department of Veterans Affairs,319806.06,15
CF,Department of Defense,98671452.53,15
CG,Department of Defense,12502244.2,15
CHRW,Department of Health and Human Services,700000.0,1
CHRW,Department of Homeland Security,31418.0,1
CHRW,Department of Justice,13853.4,3
CHRW,Department of Veterans Affairs,716.63,1
CHRW,National Transportation Safety Board,8875.0,1
CI,Department of Defense,8984486.03,5
CI,Department of State,533833.34,5
CIA,Department of Defense,73998274.97,6
CL,Department of Defense,106157163.85,15
CMCSA,Consumer Product Safety Commission,1011000.0,1
CMCSA,Department of Defense,5622490.0,6
CMCSA,Department of Health and Human Services,1495111.1,2
CMCSA,Department of Homeland Security,1866005.19,1
CMCSA,Department of Justice,1143702.08,1
CMCSA,Nuclear Regulatory Commission,773785.37,1
CMCSA,Smithsonian Institution,1713880.0,2
CME,Department of Defense,3627180.73,5
CMI,Department of Defense,486103.77,3
CMI,Department of Health and Human Services,736272.72,1
CMI,Department of Homeland Security,163783.41,2
CMI,Department of Justice,57766.67,1
CMI,Department of State,255481.11,4
CMI,Department of Veterans Affairs,262216.54,4
CNP,Department of Defense,10826.42,1
CNP,Department of Justice,962686.2,12
CNP,General Services Administration,7698.61,2
COIN,Department of Justice,4416680.0,1
COP,Department of Defense,1516822013.76,8
COP,Department of the Interior,42786.79,5
COST,Department of Agriculture,16591.27,2
COST,Department of Commerce,12174.93,1
COST,Department of Defense,132171.15,8
COST,Department of Homeland Security,29932.25,2
COST,Department of Justice,8824.47,1
COST,Department of State,8499.96,1
CRL,Department of Defense,13706881.7,1
CRL,Department of Health and Human Services,451697891.47,14
CRM,Agency for International Development,48836.1,2
CRM,Department of Agriculture,14363.7,1
CRM,Department of Defense,31200.0,1
CRM,Department of Education,4250.0,1
CRM,Department of State,1680.0,1
CRWD,Department of Justice,152500.0,2
CRWD,Department of State,43200.0,2
CSCO,Department of Defense,1468685817.06,15
CSGP,Department of Defense,126332.88,1
CSGP,Department of Homeland Security,218699.53,1
CSGP,Department of the Treasury,3451802.16,6
CSGP,General Services Administration,3367332.83,7
CTAS,Department of Defense,258195.15,1
CTAS,Department of Veterans Affairs,6317127.29,11
CTAS,Department of the Interior,1227176.13,3
CVX,Department of Defense,2287753532.07,15
D,Department of Defense,34021151.86,5
D,Department of Justice,14320779.66,1
D,Department of State,6545012.99,1
D,Department of Transportation,1520908.0,1
D,Department of Veterans Affairs,1701586.0,1
DAL,Department of Defense,41922707.25,14
DAR,Department of Agriculture,4898425.0,15
DDOG,Department of Health and Human Services,27000.0,2
DDOG,National Aeronautics and Space Administration,0.0,1
DE,Department of Defense,335028174.04,15
DHR,Department of Defense,25429017.59,1
