source_file,row_no,raw_description,txn_type,txn_date,amount_min,amount_max,amount_bracket,owner,asset_type,source_note
Donald-J-Trump-4.20.2026-278T.pdf,126,"PENNSYLVANIA ST TP!I COMM SR ARV BEIR/ 5 OOE 120134 OTO 031226 FC060126 3.196',1, Y'ELOTO MATURITY UNSOL",sale,2026-03-24,1000001,5000000,"$1,000.001 • $5,000.000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 04.20.2026"
Donald-J-Trump-4.20.2026-278T.pdf,139,UNITED STATES TREAS BlU. DUE 04/16126AGENCY SALE YTM = 3.6881/HSOUCITEDAS AGENT-STEPOUT,sale,2026-03-17,500001,1000000,"$500,001 -$1,000,000",unknown,bond,"our-OCR (low-confidence), scanned OGE filing 04.20.2026"
Donald-J-Trump-4.20.2026-278T.pdf,169,WEUS FARGO & CO PERP NT 6.8SOO!li 12/31/49,sale,2026-03-18,50001,100000,"$50,001 -$100,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 04.20.2026"
Donald-J-Trump-4.20.2026-278T.pdf,170,WEUS FARGO & CO PERP A B8 N 3.9000% 12/31/49,sale,2026-03-15,250001,500000,"$250.001 • $500,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 04.20.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",178,• STATE STREET ENERGY SELECT SECTOR SPDR ETF I,purchase,2026-03-10,100001,250000,"$100 001 -$250,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",1047,STARBUCKS CORP UNSOLICITED I,purchase,2026-03-12,15001,50000,"$15,001 • $50,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",1052,MASTERCARD INC CL A UNSOLICITED,purchase,2028-03-12,15001,50000,"$15,001 • $50,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",1674,JPMORGAN CHASE & CO I,purchase,2026-03-23,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",1737,BOSTON SCIENTIFIC CORP,purchase,2026-03-28,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2127,CARVANA CO CLASS A,purchase,2026-03-17,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2353,DYNATRACE INC,sale,2026-02-12,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2385,HUMANA INC,sale,2026-02-12,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2387,TALEN ENERGY CORP NEW ClASS EQUITY,sale,2026-03-26,1001,15000,"$1,001 -$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2400,GODADDY INC ClASS A,sale,2026-01-21,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2436,RLICORP,sale,2026-01-21,1001,15000,s1 001-S15000,unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2454,ZSCALERINC,sale,2026-02-23,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2465,SMURFIT WESTROCK PLC F,sale,2026-03-17,1001,15000,"$1 001 -$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2553,FAIR ISAAC CORP,sale,2026-02-23,1001,15000,"$1,001 • $15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2554,AXON ENTERPRISE INC,sale,2026-02-23,1001,15000,"$1.001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2561,FIDELITY NATL INFORMATIO,sale,2026-03-26,1001,15000,"$1,001 • $15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2802,OOORDASH INC CLASS A,sale,2026-01-21,1001,15000,$1 001 • $15 000,unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2634,FORTINET INC,sale,2026-01-21,1001,15000,$1 001 -$15 000,unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2639,SS&C TECHNOLOGIES HLDGS,sale,2026-02-23,1001,15000,$1.001 -$15.000,unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2723,CACTUS INC CLASS A,sale,2026-03-30,1001,15000,"$1,001-$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2787,DOMINION ENERGY INC,sale,2026-01-12,1001,15000,"$1,001 - $15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2834,MASIMOCORP,sale,2026-01-12,1001,15000,"$1,001 -$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
"Trump, Donald J.-05.08.2026-278T(2).pdf",2853,CREDIT ACCEP CORP MICH,sale,2026-01-12,1001,15000,"$1,001 -$15,000",unknown,stock,"our-OCR (low-confidence), scanned OGE filing 05.08.2026"
