source_file,row_no,raw_description,txn_type,txn_date,notified_over_30d,amount_min,amount_max,amount_bracket,owner,asset_type,source_note
ProPublica-Trump,1,SPDR SERIES TRUST STATE STREET SPDR PORTFOLIO HIGH YIELD BOND ETF DISCRETIONARY ORDER J.P. MORGAN SECURITIES LLC MAKES A MARKET IN THIS SECURITY ROME: WHIPA,purchase,2026-01-21,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,2,MIAMI-DADE CNTY FL WTR & SR B RV BE/R/5 DUE 100133 DTD 120425 FC 040126 2.810% YIELD TO MATURITY,purchase,2025-11-14,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,3,KEYCORP DP SH PFD H - KEYpl,purchase,2025-11-17,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,4,COREBRIDGE FINL INC PERP -A 6.8750% 12/31/49,purchase,2025-11-14,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,5,SPDR SERIES TRUST STATE STREET SPDR PORTFOLIO HIGH YIELD BOND ETF DISCRETIONARY ORDER J.P. MORGAN SECURITIES LLC MAKES A MARKET IN THIS SECURITY ROME: WHIPA,purchase,2026-01-20,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,6,NEW YORK NY CITY MUN WT RV BE/R/2.7 061543 DTD 111413 CALLABLE VARATE PUTBND CALLABLE @ 100 120725 VARATE PUTBND,sale,2025-11-17,,250001,500000,"$250,001 - $500,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,7,WASHINGTON ST HEALT 5% DUE 09/01/38,purchase,2025-11-26,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,8,KEYCORP DP SH PFD H -KEYpl,purchase,2025-11-14,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,9,GENERAL MTRS FINL CO INC DUE 03/01/2026 05.250% MS 01 DISCRETIONARY ORDER YIELD 4.083% TO PAR CALL YIELD 4.374% TO MATURITY CALLABLE 02/20/28 AT 100.000 TIME OF EXEC,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,10,NORTHERN TR CORP ALT TIER I 4.6000% 12/31/49,sale,2025-11-14,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,11,RICHLAND-BEAN BLOSS 5% DUE 07/15/38,purchase,2025-11-24,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,12,NEWELL RUBBERMAID INC SENIOR UNSECURED NOTES DUE 09/15/2029 08.625% MS 15 DISCRETIONARY ORDER YIELD 6.429% TO PAR CALL YIELD 6.438% TO MATURITY CALLABLE 08/15/,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,13,BANK OF AMERICA CORPORATION - BACpl,purchase,2025-11-13,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,14,***UNITED RENTALS NORTH AMER INC SENIOR SECURED NOTES REG S DUE 12/15/2029 08.000% JD 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE P,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,15,PENNSYLVANIA ST 5.25% DUE 11/01/39,purchase,2025-11-28,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,16,UNIVERSITY OKLA REV 5% DUE 07/01/34,purchase,2025-11-19,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,17,KEYCORP DP SH PFD H -KEYpl,purchase,2025-11-13,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,18,NEW YORK CMNTY BANCOR INC SUBORDINATED NOTE DUE 11/08/2028 08.828% MN 06 DISCRETIONARY ORDER CALLABLE 05/18/28 AT 100.000 TIME OF EXECUTION 14:49:39 FINRA LINK P,purchase,2026-01-20,,15001,50000,"$15,001 - $50,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,19,WELLS FARGO & CO NEW - WFCpl,purchase,2025-11-13,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,20,"MISSOURI ST HWYS & TRANS COMMN ST RD REV APPROP MEGA PJS SER A B/E 5.00 % Due May 1, 2026",purchase,2025-12-10,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,21,WHIRLP00L CORP DEB SENIOR NOTES DUE 02/26/2029 04.750% FA 28 DISCRETIONARY ORDER YIELD 5.128% TO MATURITY YIELD 5.159% TO PAR CALL CALLABLE 11/28/28 AT 100.000,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,22,TRUIST FINL CORP PERP -P BD 4.9500%,sale,2025-10-30,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,23,***NETFLIX INC REG S DUE 11/15/2029 05.375% JD 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,24,"CONNECTICUT ST SER A B/E 4.00 % Due Jan 15, 2026",purchase,2025-12-10,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,25,"WYOMING MI WTR SPLY SYS REV 2025 B/E B/Q 5.00 % Due Dec 1, 2026",purchase,2025-12-10,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,26,***SIRIUS XM RADIO INC SENIOR NOTES REG S DUE 07/01/2029 05.500% JJ 01 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,27,TRUIST FINL CORP PERP NT 5.1000%,purchase,2025-10-30,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,28,"GRAND TRAVERSE CNTY MI WTR SPLY SYS 2025 DB B/E B/Q 5.00 % Due Nov 1, 2026",purchase,2025-12-10,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,29,KEYCORP DP SH PFD H -KEYpl,purchase,2025-10-15,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,30,***CARNVAL CORP REG S DUE 08/15/2029 07.000% FA 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,31,OLIN CORP DUE 08/01/2029 05.625% FA 01 DISCRETIONARY ORDER YIELD 5.188% TO PAR CALL YIELD 5.188% TO CALL YIELD 5.418% TO MATURITY CALLABLE 08/01/27 AT 100.000,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,32,M & T BK CORP PERP SUB GLBL 3.5000%,purchase,2025-10-15,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,33,"KELLER TX INDPT SCH DIST RFDG SER A B/E 5.00 % Due Aug 15, 2027",purchase,2025-12-09,,50001,100000,"$50,001 - $100,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,34,"UNIVERSITY OK BRD REGTS GENL REV RFDG SER C B/E PTC 5.00 % Due Jul 1, 2027",purchase,2025-12-09,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,35,FIRST HORIZON BK MEMPHIS TEEN DUE 05/01/2030 05.750% MN 01 DISCRETIONARY ORDER YIELD 4.897% TO PAR CALL YIELD 4.940% TO MATURITY CALLABLE 02/01/30 AT 100.000 TIME C,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,36,BANK OF AMERICA CORPORATION - BACpl,purchase,2025-10-07,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,37,THE BOEING COMPANY SENIOR UNSECURED NOTE DUE 05/01/2027 05.040% MN 01 DISCRETIONARY ORDER YIELD 4.080% TO PAR CALL YIELD 4.197% TO MATURITY CALLABLE 03/01/27 AT 100.000,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,38,"CENTER GROVE IN MLTI FAC SCH BLDG AD VAL PPTY 1ST RFDG REV B/E ST INTRCPT 5.00 % Due Jul 10, 2026",purchase,2025-12-09,,50001,100000,"$50,001 - $100,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,39,WELLS FARGO & CO NEW - WFCpl,purchase,2025-10-07,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,40,"MOBILE AL INDL DEV BRD POLLTN CTL REV PWR COMPANY BARRY B B/E 3.92 % Due Jun 1, 2034",purchase,2025-12-09,,50001,100000,"$50,001 - $100,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,41,BLOCK FINLL LLC SENIOR UNSECURED NOTE DUE 08/15/2030 03.875% FA 15 DISCRETIONARY ORDER YIELD 4.805% TO MATURITY YIELD 4.855% TO PAR CALL CALLABLE 05/15/30 AT 100.000,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,42,WELLS FARGO & CO PERP NT 6.8500% 12/31/49,purchase,2025-09-30,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,43,OCCIDENTAL PETE SR DEBS-REG SENIOR NOTES DUE 08/01/2030 08.825% MS 01 DISCRETIONARY ORDER YIELD 4.852% TO PAR CALL YIELD 4.838% TO MATURITY CALLABLE 03/01/30 AT 100.000,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,option,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,44,"PHILADELPHIA PA AUTH INDL DEV CITY AGREEMT REV RFDG ONE BENJAMN B/E 5.00 % Due Feb 15, 2026",purchase,2025-12-09,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,45,BANK NEW YORK MELLON CORP PE 5.9500% 12/31/49,purchase,2025-09-16,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,46,***VICTORIAS SECRET CO REG S DUE 07/15/2029 04.825% JJ 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,47,"SOUTHERN MN MPA SPLY SYS REV RFDG NPFG B/E SER A CAB @12.780 6.7% 0.00 % Due Jan 1, 2026",purchase,2025-12-09,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,48,"SHAKOPEE MN INDPT SCH DIST 720 RFDG SER A B/E CR ENH 5.00 % Due Feb 1, 2026",purchase,2025-12-09,,50001,100000,"$50,001 - $100,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,49,GENERAL MTRS FINL CO INC PER 6.5000%,purchase,2025-09-16,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,50,***COREWEAVE INC REG S DUE 02/01/2031 08.000% FA 01 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,51,PNC FINL SVCS GROUP INC PERP 6.2500%,purchase,2025-09-16,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,52,***COTY INC SENIOR SECURED NOTES REG S DUE 01/15/2029 04.750% JJ 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,53,"SLINGER WI SWR SYS REV 2022 B BAM B/E B/Q CR ENH 5.00 % Due May 1, 2026",purchase,2025-12-09,,50001,100000,"$50,001 - $100,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,54,HUNTINGTON BANCSHARES INC TI 4.4500%,sale,2025-09-10,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,55,"UNIVERSITY TX UNIV REV FING SYS SER D B/E 5.00 % Due Aug 15, 2026",purchase,2025-12-09,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,56,***MACYS RETAIL HOLDINGS LLC REG S DUE 03/15/2030 05.875% MS 15 DISCRETIONARY ORDER IF THIS CONFIRMATION IS IN CONNECTION WITH A SALE PURSUANT TO REG.S,purchase,2026-01-20,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,57,SPDR SERIES TRUST STATE STREET SPDR PORTFOLIO HIGH YIELD BOND ETF DISCRETIONARY ORDER J.P. MORGAN SECURITIES LLC MAKES A MARKET IN THIS SECURITY ROME: WHIPAA,purchase,2026-01-02,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
